Marka,Model,Rok produkcji,Przebieg,Pojemnosc silnika,Moc,Rodzaj paliwa,Skrzynia biegow,Kolor,Cena
Peugeot,207,2007,123000,1400,88,Benzyna,manualna,czarny metalik,9900
Fiat,Multipla,2005,169000,1600,103,Alternatywne,manualna,biały,7900
Volkswagen,Passat,2001,346347,1896,130,Olej Napędowy,automatyczna,zielony,7999
Opel,Corsa,2017,41000,1398,70,Benzyna,manualna,biały,38000
Volkswagen,Golf,2001,334000,1900,130,Olej Napędowy,manualna,srebrny metalik,8500
Toyota,RAV4,2005,159000,2000,150,Benzyna,manualna,grafitowy metalik,28500
Toyota,Yaris,2009,151000,1000,69,Benzyna,manualna,granatowy metalik,17999
Audi,Q5,2013,257000,2000,145,Olej Napędowy,manualna,czarny metalik,82
Hyundai,ix20,2014,149000,1400,90,Benzyna,manualna,szary metalik,39200
Volkswagen,Passat,2008,267000,1800,160,Benzyna,manualna,czarny,18500
Ford,Fiesta,2008,137963,1300,85,Benzyna,manualna,zielony metalik,11500
Volkswagen,Polo,2006,235963,1600,102,Benzyna,manualna,czarny metalik,10500
Volvo,740,1990,188,2300,117,Autogaz,manualna,niebieski,5500
Opel,Astra,2015,169000,1600,110,Olej Napędowy,manualna,niebieski metalik,44900
Audi,A6,2009,3000,2500,150,Olej Napędowy,manualna,grafitowy,6300
Volkswagen,Golf,2013,190000,2000,150,Olej Napędowy,manualna,biały,49900
Opel,Meriva,2004,144500,1686,74,Olej Napędowy,manualna,czarny,6500
Škoda,Octavia,2010,176000,1600,105,Olej Napędowy,manualna,czerwony metalik,21900
BMW,Seria 3,2004,320000,1995,150,Olej Napędowy,manualna,srebrny metalik,17900
Hyundai,ix35,2012,153800,1995,136,Olej Napędowy,manualna,biały,44500
Opel,Zafira,2013,225800,1686,125,Olej Napędowy,manualna,brązowy metalik,26900
Fiat,Panda,2009,178600,1108,55,Benzyna,manualna,czerwony,10900
Jeep,Cherokee,2018,36000,3,271,Benzyna,automatyczna,niebieski metalik,115000
Ford,Fiesta,2009,122000,1242,60,Benzyna,manualna,granatowy metalik,20900
Mercedes-Benz,Klasa A,2001,286000,1689,95,Olej Napędowy,manualna,grafitowy,5400
Toyota,RAV4,2005,322500,2,116,Olej Napędowy,manualna,zielony metalik,22000
Fiat,Punto,2000,223000,1200,60,Benzyna,manualna,czarny metalik,3500
Fiat,Seicento,2002,100000,900,50,Benzyna,manualna,srebrny metalik,3500
Fiat,Panda,2004,221000,1100,55,Benzyna,manualna,zielony metalik,4950
Jeep,Renegade,2016,33000,1600,110,Benzyna,manualna,beżowy metalik,57900
Peugeot,206,2008,129000,1400,75,Benzyna,manualna,czerwony metalik,9900
Fiat,Punto,2004,197000,1200,60,Benzyna,manualna,czerwony metalik,5200
Daewoo,Evanda,2003,255142,2000,130,Autogaz,manualna,srebrny,5950
BMW,X3,2010,269000,2000,177,Olej Napędowy,automatyczna,czarny metalik,29900
Peugeot,1007,2008,207000,1400,68,Olej Napędowy,manualna,czerwony,13990
Škoda,Roomster,2008,273000,1200,70,Benzyna,manualna,srebrny metalik,11900
Renault,Megane,2003,321968,1500,80,Olej Napędowy,manualna,srebrny,2500
Opel,Astra,2009,215000,1600,116,Benzyna,manualna,szary metalik,16500
Peugeot,206 CC,2005,195000,1600,110,Benzyna,manualna,czarny metalik,9200
Peugeot,106,1999,252365,1100,60,Benzyna,manualna,czerwony,2300
Ford,Fiesta,2010,160000,1600,120,Benzyna,manualna,beżowy metalik,22900
Honda,Civic,1994,236343,1500,90,Benzyna,manualna,szary,1950
Opel,Insignia,2017,50250,2,178,Olej Napędowy,manualna,czarny metalik,110000
Opel,Astra,1997,151804,1600,85,Benzyna,manualna,zielony,1950
Ford,Focus,2000,257174,1800,90,Olej Napędowy,manualna,zielony,2300
Peugeot,407,2006,268316,2000,140,Olej Napędowy,manualna,niebieski,9600
Peugeot,307,2003,244854,1400,70,Olej Napędowy,manualna,czerwony,3700
Volkswagen,Golf,1996,274538,1600,75,Autogaz,manualna,granatowy,2000
BMW,Seria 3,1999,452351,1900,105,Autogaz,manualna,czarny,2800
Audi,A6,1996,311473,1800,125,Benzyna,manualna,granatowy,3300
Renault,Megane,1996,231151,1400,75,Benzyna,manualna,zielony,1600
Toyota,Aygo,2009,91000,998,68,Benzyna,manualna,srebrny,13900
Volkswagen,Passat,1999,400598,1800,150,Autogaz,manualna,srebrny,2200
BMW,Seria 5,2006,280000,2000,150,Olej Napędowy,manualna,czarny,7800
Honda,CR-V,2007,237000,2204,140,Olej Napędowy,manualna,czarny,33900
Mazda,CX-7,2007,178000,2300,260,Benzyna,automatyczna,srebrny,20300
Citroën,C3 Picasso,2009,272000,1560,109,Olej Napędowy,manualna,grafitowy metalik,18700
Suzuki,Ignis,2003,148815,1300,90,Autogaz,manualna,zielony,6300
Opel,Astra,1997,151804,1600,105,Benzyna,manualna,zielony,2300
BMW,Seria 1,2010,177650,1995,122,Benzyna,manualna,biały metalik,20900
Smart,Fortwo,2000,177175,600,45,Benzyna,manualna,żółty,3500
Honda,Civic,1996,202169,1400,90,Benzyna,manualna,czarny,2200
Alfa Romeo,147,2006,224818,1900,120,Olej Napędowy,manualna,szary,7200
BMW,Seria 3,2009,310929,2000,180,Olej Napędowy,manualna,biały,6800
Audi,Q7,2006,508079,3000,230,Olej Napędowy,automatyczna,czarny,35000
Kia,Sportage,2005,220000,2000,112,Olej Napędowy,manualna,czarny metalik,19900
Hyundai,i30,2009,120000,1400,109,Benzyna,manualna,czarny metalik,21900
Toyota,Avensis,2004,221000,2000,116,Olej Napędowy,manualna,złoty metalik,13300
Fiat,Seicento,1999,263857,1100,55,Autogaz,manualna,czerwony,1700
Ford,Kuga,2011,237000,1997,163,Olej Napędowy,automatyczna,srebrny metalik,41900
Chrysler,Grand Voyager,2011,220000,2800,163,Olej Napędowy,automatyczna,srebrny metalik,52000
Seat,Altea,2007,177000,1800,160,Benzyna,manualna,czerwony,14400
Volkswagen,Lupo,1999,1700,1000,60,Benzyna,manualna,niebieski,4500
Jeep,Cherokee,2006,205000,2800,163,Olej Napędowy,manualna,czarny metalik,27900
Mercedes-Benz,Klasa A,2008,175000,1500,95,Autogaz,manualna,srebrny metalik,19700
Audi,A4,2010,129000,1800,120,Benzyna,manualna,grafitowy metalik,43500
Audi,A6,2004,277000,2999,225,Olej Napędowy,automatyczna,grafitowy metalik,24900
Citroën,C5,2006,247500,1999,136,Olej Napędowy,manualna,srebrny metalik,8200
Ford,Focus,2005,233000,1600,115,Benzyna,manualna,czarny,6900
Hyundai,i40,2015,178000,1685,141,Olej Napędowy,manualna,szary metalik,49900
Citroën,C3,2006,236000,1124,60,Benzyna,manualna,niebieski metalik,8500
Volkswagen,Fox,2005,238000,1198,55,Benzyna,manualna,srebrny metalik,6950
Opel,Corsa,2004,126000,1200,75,Benzyna,manualna,czarny metalik,7400
Volkswagen,Polo,2002,186000,1198,64,Benzyna,manualna,fioletowy metalik,6950
Citroën,C4,2013,147000,1560,92,Olej Napędowy,manualna,srebrny,27900
Volkswagen,Polo,2006,238000,1198,55,Autogaz,manualna,niebieski,9950
Ford,Fiesta,2005,158000,1388,80,Benzyna,manualna,srebrny metalik,8500
Fiat,Grande Punto,2006,203000,1242,65,Benzyna,manualna,czarny,9400
Opel,Astra,2005,223000,1598,105,Benzyna,manualna,srebrny metalik,10950
Opel,Astra,2004,183000,1598,105,Benzyna,manualna,srebrny metalik,10450
Opel,Frontera,1992,238210,2000,115,Benzyna,manualna,czerwony,5700
Renault,Kadjar,2020,66000,1461,115,Olej Napędowy,automatyczna,biały metalik,92900
Subaru,Forester,2015,216000,1998,146,Olej Napędowy,manualna,zielony metalik,61400
Volkswagen,Passat,2012,208000,2000,170,Olej Napędowy,automatyczna,szary metalik,55555
Dacia,Logan,2009,150390,1598,87,Benzyna,manualna,biały metalik,10000
Kia,Rio,2016,23000,1120,67,Olej Napędowy,manualna,szary metalik,39999
Mitsubishi,Outlander,2005,144000,2000,136,Benzyna,manualna,szary metalik,17900
Volkswagen,Golf,2010,240000,1600,105,Olej Napędowy,manualna,szary,26900
Chevrolet,Orlando,2013,134679,1796,141,Benzyna,manualna,szary metalik,33900
Suzuki,Grand Vitara,2007,215000,1900,130,Olej Napędowy,manualna,srebrny metalik,18900
Kia,Sportage,2010,124167,1991,136,Olej Napędowy,manualna,niebieski metalik,26700
Ford,C-MAX,2009,175000,1600,90,Olej Napędowy,manualna,zielony metalik,18800
Alfa Romeo,159,2007,236000,1900,150,Olej Napędowy,manualna,czarny,17500
Opel,Corsa,2011,104000,1229,70,Benzyna,manualna,srebrny metalik,22900
Alfa Romeo,Giulietta,2010,102000,1956,170,Olej Napędowy,manualna,srebrny metalik,26900
Opel,Combo,2015,140136,1368,95,Benzyna,manualna,biały metalik,21000
Opel,Astra,2012,207000,1400,140,Benzyna,automatyczna,czerwony metalik,32900
Opel,Astra,2012,215000,1700,130,Olej Napędowy,manualna,złoty metalik,25900
Volkswagen,Polo,2008,141000,1200,55,Benzyna,manualna,czarny,15500
Fiat,Uno,2000,61000,999,45,Benzyna,manualna,bordowy metalik,3500
Ford,Mondeo,2014,193348,1997,163,Olej Napędowy,automatyczna,czarny metalik,35900
Peugeot,208,2015,124545,1199,110,Benzyna,manualna,pomarańczowy metalik,29999
Ford,Kuga,2012,194000,2000,163,Olej Napędowy,manualna,brązowy metalik,45900
Alfa Romeo,Giulietta,2011,166000,1598,105,Olej Napędowy,manualna,czerwony metalik,26900
BMW,Seria 1,2008,209000,2000,143,Olej Napędowy,manualna,srebrny metalik,16600
BMW,Seria 5,2015,213000,2000,218,Olej Napędowy,automatyczna,szary metalik,81200
Citroën,C3,2010,136000,1124,60,Benzyna,manualna,czarny metalik,13400
Smart,Forfour,2006,161000,1300,95,Benzyna,manualna,czarny metalik,9900
Volkswagen,Passat Cc,2010,162000,2000,140,Olej Napędowy,manualna,biały metalik,42900
Dacia,Lodgy,2012,141144,1461,107,Olej Napędowy,manualna,szary metalik,32900
Daihatsu,Terios,2002,140000,1242,86,Benzyna,manualna,bordowy,12900
Toyota,Yaris,2016,52000,998,69,Benzyna,manualna,biały,32900
Fiat,500,2012,135903,1242,69,Benzyna,manualna,czerwony metalik,23500
Volkswagen,Polo,2012,120000,1400,86,Benzyna,manualna,czarny metalik,33500
Opel,Insignia,2009,161000,2000,220,Benzyna,manualna,biały metalik,31900
Opel,Mokka,2016,76677,1364,140,Benzyna,automatyczna,niebieski metalik,65900
Citroën,C3,2010,85000,1397,95,Benzyna,manualna,czarny metalik,23800
Renault,Grand Scenic,2010,153000,1397,130,Benzyna,manualna,szary metalik,23800
Dacia,Sandero,2015,91000,898,90,Benzyna,manualna,czarny metalik,30900
BMW,Seria 1,2006,154696,1596,116,Benzyna,manualna,brązowy metalik,18000
Dacia,Sandero,2015,27984,1149,73,Benzyna,manualna,niebieski metalik,25900
Ford,Focus,2011,256000,1560,95,Olej Napędowy,manualna,czarny metalik,25900
Lancia,Ypsilon,2012,145483,1242,69,Benzyna,manualna,czarny metalik,23900
Jeep,Cherokee,1996,335000,4000,170,Autogaz,automatyczna,zielony,14000
Mercedes-Benz,Klasa A,2000,220000,1400,82,Benzyna,manualna,srebrny metalik,4555
Škoda,Octavia,2003,242863,1390,75,Autogaz,manualna,niebieski metalik,7900
Renault,Megane,2009,212,1500,78,Olej Napędowy,manualna,brązowy metalik,16000
Ford,Fiesta,2002,233100,1399,68,Olej Napędowy,manualna,srebrny,5300
Opel,Astra,2011,191000,1400,140,Benzyna,manualna,beżowy metalik,30900
Fiat,Punto,1998,152000,1100,1,Benzyna,manualna,szary metalik,3200
Hyundai,Elantra,2012,169000,1600,132,Benzyna,manualna,czarny metalik,36500
Toyota,Corolla Verso,2005,207,2200,136,Olej Napędowy,manualna,srebrny metalik,10800
Opel,Corsa,2014,98000,1200,86,Autogaz,manualna,szary metalik,31000
Renault,Laguna,2007,230000,1500,110,Olej Napędowy,manualna,bordowy metalik,16500
Renault,Megane,2015,199000,1200,115,Benzyna,manualna,szary metalik,32500
Nissan,Qashqai,2016,192000,1500,110,Olej Napędowy,manualna,biały metalik,65500
BMW,X5,2009,268000,3000,211,Olej Napędowy,automatyczna,szary metalik,50900
Toyota,Land Cruiser,2005,382000,3000,166,Olej Napędowy,automatyczna,srebrny metalik,55500
Ford,Mondeo,2001,408,2000,150,Autogaz,manualna,granatowy,3800
Renault,Clio,2011,202000,1200,75,Autogaz,manualna,czerwony metalik,17500
Audi,S8,2001,343000,4200,360,Benzyna,automatyczna,srebrny metalik,32500
Mazda,2,2015,92000,1500,90,Benzyna,manualna,biały metalik,42500
Honda,CR-V,2002,250000,1999,149,Autogaz,manualna,czarny metalik,9500
